variant,quantity,stream,h,value,delta_vs_base
exclude_pre2003,nowcast_rel_bias,Y0,3.0,0.024183132752006373,0.0
exclude_pre2003,F_hat(h),Y0,6.0,0.8702882153459067,0.0
exclude_pre2003,nowcast_rel_bias,Y0,6.0,0.030220058077360563,0.0
exclude_pre2003,F_hat(h),Y0,12.0,0.9352693066254616,0.0
exclude_pre2003,nowcast_rel_bias,Y0,12.0,0.015749264587727782,0.0
exclude_pre2003,pooled_cov90,Y0,,0.9833333333333333,-0.008333333333333415
exclude_pre2003,F_hat(h),Y3,1.0,0.4321020297342624,0.0
exclude_pre2003,nowcast_rel_bias,Y3,1.0,0.03117601720200717,0.0
exclude_pre2003,F_hat(h),Y3,3.0,0.6064589891007192,0.0
exclude_pre2003,nowcast_rel_bias,Y3,3.0,0.08864795178292313,0.0
exclude_pre2003,F_hat(h),Y3,6.0,0.7209558494184143,0.0
exclude_pre2003,nowcast_rel_bias,Y3,6.0,0.09849115281572006,0.0
exclude_pre2003,F_hat(h),Y3,12.0,0.8118254325655949,0.0
exclude_pre2003,nowcast_rel_bias,Y3,12.0,0.04035865489748601,0.0
exclude_pre2003,pooled_cov90,Y3,,0.8761061946902655,0.0
exclude_pre2003,F_hat(h),severe,1.0,0.7226616425673033,0.0
exclude_pre2003,nowcast_rel_bias,severe,1.0,-0.004870163920153022,0.0
exclude_pre2003,F_hat(h),severe,3.0,0.8355748902894403,0.0
exclude_pre2003,nowcast_rel_bias,severe,3.0,0.004018980191268862,0.0
exclude_pre2003,F_hat(h),severe,6.0,0.8959001862772302,0.0
exclude_pre2003,nowcast_rel_bias,severe,6.0,0.009657253213988049,0.0
exclude_pre2003,F_hat(h),severe,12.0,0.9480728941536108,0.0
exclude_pre2003,nowcast_rel_bias,severe,12.0,0.00781892507368658,0.0
exclude_pre2003,pooled_cov90,severe,,0.9666666666666667,-0.025000000000000022
exclude_pre2003,n_complaints,-,,1264850.0,-211137.0
exclude_burst_months,F_hat(h),Y0,1.0,0.7023256027519503,0.003683661429975782
exclude_burst_months,nowcast_rel_bias,Y0,1.0,-0.0010527879075218826,-0.012690687739827067
exclude_burst_months,F_hat(h),Y0,3.0,0.8062793108046601,0.0027588978503825246
exclude_burst_months,nowcast_rel_bias,Y0,3.0,0.010144722306314188,-0.014038410445692186
exclude_burst_months,F_hat(h),Y0,6.0,0.8720201198625451,0.001731904516638405
exclude_burst_months,nowcast_rel_bias,Y0,6.0,0.01781169645026654,-0.012408361627094022
exclude_burst_months,F_hat(h),Y0,12.0,0.9356754817934473,0.00040617516798568953
exclude_burst_months,nowcast_rel_bias,Y0,12.0,0.008156369420386991,-0.007592895167340791
exclude_burst_months,pooled_cov90,Y0,,0.9833333333333333,-0.008333333333333415
exclude_burst_months,F_hat(h),Y3,1.0,0.4355925357906792,0.0034905060564167645
exclude_burst_months,nowcast_rel_bias,Y3,1.0,0.05374103963023468,0.02256502242822751
exclude_burst_months,F_hat(h),Y3,3.0,0.6084655435278922,0.002006554427173013
exclude_burst_months,nowcast_rel_bias,Y3,3.0,0.10374705674472261,0.015099104961799475
exclude_burst_months,F_hat(h),Y3,6.0,0.7242523346802049,0.003296485261790605
exclude_burst_months,nowcast_rel_bias,Y3,6.0,0.11786647950636309,0.019375326690643027
exclude_burst_months,F_hat(h),Y3,12.0,0.8109501173828629,-0.0008753151827319838
exclude_burst_months,nowcast_rel_bias,Y3,12.0,0.05462547219251423,0.014266817295028218
exclude_burst_months,pooled_cov90,Y3,,0.8672566371681416,-0.008849557522123908
exclude_burst_months,F_hat(h),severe,1.0,0.7246836393069707,0.0020219967396674088
exclude_burst_months,nowcast_rel_bias,severe,1.0,-0.006274601767511589,-0.0014044378473585676
exclude_burst_months,F_hat(h),severe,3.0,0.8373332126911843,0.0017583224017440058
exclude_burst_months,nowcast_rel_bias,severe,3.0,0.0018587275237966592,-0.002160252667472203
exclude_burst_months,F_hat(h),severe,6.0,0.8972187849772016,0.0013185986999714183
exclude_burst_months,nowcast_rel_bias,severe,6.0,0.008420684695802084,-0.001236568518185965
exclude_burst_months,F_hat(h),severe,12.0,0.9489907775012674,0.0009178833476565229
exclude_burst_months,nowcast_rel_bias,severe,12.0,0.007345053052900738,-0.000473872020785842
exclude_burst_months,pooled_cov90,severe,,0.9666666666666667,-0.025000000000000022
exclude_burst_months,n_complaints,-,,1376342.0,-99645.0
delay_by_elapsed_days,F_hat(h),Y0,1.0,0.7291733148689163,0.030531373546941798
delay_by_elapsed_days,nowcast_rel_bias,Y0,1.0,0.014844902810070365,0.003207002977765182
delay_by_elapsed_days,F_hat(h),Y0,3.0,0.8150185077513141,0.011498094797036562
delay_by_elapsed_days,nowcast_rel_bias,Y0,3.0,0.02411210189720473,-7.103085480164237e-05
delay_by_elapsed_days,F_hat(h),Y0,6.0,0.8760900688602454,0.005801853514338706
delay_by_elapsed_days,nowcast_rel_bias,Y0,6.0,0.028986360012126556,-0.0012336980652340075
delay_by_elapsed_days,F_hat(h),Y0,12.0,0.9375543861449118,0.0022850795194502282
delay_by_elapsed_days,nowcast_rel_bias,Y0,12.0,0.014795563362612311,-0.0009537012251154709
delay_by_elapsed_days,pooled_cov90,Y0,,0.9833333333333333,-0.008333333333333415
delay_by_elapsed_days,F_hat(h),Y3,1.0,0.5114775871110498,0.07937555737678742
delay_by_elapsed_days,nowcast_rel_bias,Y3,1.0,0.06417696633823423,0.03300094913622706
delay_by_elapsed_days,F_hat(h),Y3,3.0,0.6398128104708807,0.03335382137016152
delay_by_elapsed_days,nowcast_rel_bias,Y3,3.0,0.06652103343461176,-0.022126918348311375
delay_by_elapsed_days,F_hat(h),Y3,6.0,0.7304866650766616,0.009530815658247316
delay_by_elapsed_days,nowcast_rel_bias,Y3,6.0,0.08566690114392964,-0.012824251671790424
delay_by_elapsed_days,F_hat(h),Y3,12.0,0.8308020958193335,0.01897666325373859
delay_by_elapsed_days,nowcast_rel_bias,Y3,12.0,0.04709308348224729,0.006734428584761282
delay_by_elapsed_days,pooled_cov90,Y3,,0.8672566371681416,-0.008849557522123908
delay_by_elapsed_days,F_hat(h),severe,1.0,0.765223245159278,0.04256160259197472
delay_by_elapsed_days,nowcast_rel_bias,severe,1.0,-0.0007335507721103146,0.004136613148042707
delay_by_elapsed_days,F_hat(h),severe,3.0,0.8496971471028657,0.014122256813425382
delay_by_elapsed_days,nowcast_rel_bias,severe,3.0,0.004439132944804669,0.0004201527535358067
delay_by_elapsed_days,F_hat(h),severe,6.0,0.9020953627024999,0.006195176425269677
delay_by_elapsed_days,nowcast_rel_bias,severe,6.0,0.009134990450642604,-0.0005222627633454449
delay_by_elapsed_days,F_hat(h),severe,12.0,0.9506682709166605,0.0025953767630496616
delay_by_elapsed_days,nowcast_rel_bias,severe,12.0,0.007087743839840857,-0.0007311812338457232
delay_by_elapsed_days,pooled_cov90,severe,,0.9833333333333333,-0.008333333333333415
delay_by_elapsed_days,n_complaints,-,,1475987.0,0.0
