stream,h,method,n,rel_bias,median_rel_bias,mape,rmse,mean_realized,cov50,cov90,origin_set
Y1,1,onestep,36,0.0751590317461447,0.09448489267018839,0.0812845043134243,20.54811122592233,218.08333333333334,,,training 2018-01..2020-12
Y1,1,nowcast,36,0.0643675182403481,0.07354738545094021,0.07110626913245673,18.630973278197924,218.08333333333334,0.4166666666666667,0.9166666666666666,training 2018-01..2020-12
Y1,3,naive,36,-0.13846985379213694,-0.1408108847258307,0.13846985379213694,31.591137997862628,220.66666666666666,,,training 2018-01..2020-12
Y1,3,onestep,36,0.06595767235511439,0.06675381885568546,0.06706005179387747,17.102716206477876,220.66666666666666,,,training 2018-01..2020-12
Y1,3,nowcast,36,0.05472846943323902,0.05566793882583361,0.057660545630095233,14.757208878665631,220.66666666666666,0.4166666666666667,0.8333333333333334,training 2018-01..2020-12
Y1,6,naive,36,-0.08992004813246478,-0.08432126273535964,0.08992004813246478,20.77525237177905,225.22222222222223,,,training 2018-01..2020-12
Y1,6,onestep,36,0.05487232182104927,0.06066738481096644,0.05638417807915888,13.90102061558625,225.22222222222223,,,training 2018-01..2020-12
Y1,6,nowcast,36,0.040487794893066247,0.0445944784901929,0.043947662974921954,11.058492237641666,225.22222222222223,0.2222222222222222,0.9444444444444444,training 2018-01..2020-12
Y1,12,naive,36,-0.04449126578674928,-0.04529431054271192,0.04449126578674928,11.215069227507147,234.30555555555554,,,training 2018-01..2020-12
Y1,12,onestep,36,0.0327285682373182,0.03324288843780654,0.03358142077711023,8.660915273591527,234.30555555555554,,,training 2018-01..2020-12
Y1,12,nowcast,36,0.023297648857668975,0.025593576948381543,0.02494485826855113,6.729816863985414,234.30555555555554,0.4722222222222222,0.8055555555555556,training 2018-01..2020-12
Y1,24,naive,36,-0.013621067049525159,-0.012991021324354656,0.013621067049525159,3.689323936863109,237.63888888888889,,,training 2018-01..2020-12
Y1,24,onestep,36,0.008307618522714316,0.009636714836661765,0.009691209496216489,2.737702334964989,237.63888888888889,,,training 2018-01..2020-12
Y1,24,nowcast,36,0.006886537290432035,0.008004315972847516,0.008794386874010452,2.498702259772101,237.63888888888889,0.5833333333333334,0.9444444444444444,training 2018-01..2020-12
Y2,1,naive,36,-0.26577645975316583,-0.2610683617709379,0.26577645975316583,41.544821846076346,147.36111111111111,,,training 2018-01..2020-12
Y2,1,onestep,36,0.128602430655433,0.13948771533647064,0.1334739725222659,22.674091613131278,147.36111111111111,,,training 2018-01..2020-12
Y2,1,nowcast,36,0.11824547497535469,0.12076575213083855,0.11986124965125808,20.22354896263223,147.36111111111111,0.3333333333333333,0.75,training 2018-01..2020-12
Y2,3,naive,36,-0.15792461588687418,-0.1516339869281046,0.15792461588687418,25.629301806937914,149.69444444444446,,,training 2018-01..2020-12
Y2,3,onestep,36,0.11392548456208552,0.12329130580272599,0.11399377424856724,18.686228684498047,149.69444444444446,,,training 2018-01..2020-12
Y2,3,nowcast,36,0.0971606734663368,0.09776989630446131,0.0971606734663368,15.95746024579258,149.69444444444446,0.2777777777777778,0.8333333333333334,training 2018-01..2020-12
Y2,6,naive,36,-0.11084862676635594,-0.10331791496175058,0.11084862676635594,18.37873166945363,151.91666666666666,,,training 2018-01..2020-12
Y2,6,onestep,36,0.0795909584195188,0.08959124279656651,0.08030869592404989,13.645521559078704,151.91666666666666,,,training 2018-01..2020-12
Y2,6,nowcast,36,0.06552176846828724,0.06602207593381228,0.06617555629930491,11.48668284798356,151.91666666666666,0.4166666666666667,0.8888888888888888,training 2018-01..2020-12
Y2,12,naive,36,-0.05866688675465993,-0.06020134228187919,0.05866688675465993,10.00694203485205,160.13888888888889,,,training 2018-01..2020-12
Y2,12,onestep,36,0.05121661032423569,0.04961183984458488,0.05121661032423569,8.768826324332156,160.13888888888889,,,training 2018-01..2020-12
Y2,12,nowcast,36,0.040888983951659734,0.043353064944595635,0.040888983951659734,7.194037373696738,160.13888888888889,0.4444444444444444,0.9444444444444444,training 2018-01..2020-12
Y2,24,naive,36,-0.016344223291215508,-0.015955645843914,0.016344223291215508,3.1490739379485304,168.0,,,training 2018-01..2020-12
Y2,24,onestep,36,0.018010618528034202,0.01989743229837468,0.018257491601142525,3.4992435623541667,168.0,,,training 2018-01..2020-12
Y2,24,nowcast,36,0.016108031453743787,0.018334105166168194,0.016883155395115482,3.3116430562786383,168.0,0.5,0.9722222222222222,training 2018-01..2020-12
Y3,1,naive,34,-0.5140172735760971,-0.5,0.5140172735760971,2.9803276566808004,4.5588235294117645,,,training 2018-01..2020-12
Y3,1,onestep,34,0.2316611148898153,0.28095101415996937,0.6204425683553808,3.285244269985708,4.5588235294117645,,,training 2018-01..2020-12
