stream,W,d,F,lam
Y3,60,27,0.9670209397718802,1.0
Y3,60,28,0.9670209397718802,1.0
Y3,60,29,0.9670209397718802,1.0043668122270741
Y3,60,30,0.9712437386355127,1.0
Y3,60,31,0.9712437386355127,1.0
Y3,60,32,0.9712437386355127,1.0
Y3,60,33,0.9712437386355127,1.0042194092827004
Y3,60,34,0.975341813482076,1.0168776371308017
Y3,60,35,0.9918032786885246,1.0082644628099173
Y3,60,36,1.0,
severe,60,0,0.5076930086351726,1.4234224822398662
severe,60,1,0.7226616425673033,1.0991625287185949
severe,60,2,0.7943225984522104,1.0519339269934063
severe,60,3,0.8355748902894403,1.0308022922636104
severe,60,4,0.8613125122682699,1.0219320486815415
severe,60,5,0.8802028602173584,1.0178337594313152
severe,60,6,0.8959001862772302,1.0141279536060213
severe,60,7,0.9085574225445807,1.010482052532147
severe,60,8,0.9180809691761651,1.0087082728592163
severe,60,9,0.9260758687626048,1.0075197016182398
severe,60,10,0.9330396829715518,1.0065781605071165
severe,60,11,0.9391773677656478,1.0094716149401322
severe,60,12,0.9480728941536108,1.0061633281972264
severe,60,13,0.9539161785551739,1.0048122623574145
severe,60,14,0.9585066734733636,1.0031394384551593
severe,60,15,0.9615158461835926,1.0035273368606703
severe,60,16,0.9649074364699546,1.0032548677709967
severe,60,17,0.9680480825869157,1.0024151811385853
severe,60,18,0.9703860940572232,1.0026763851716873
severe,60,19,0.9729832210101695,1.0023660638837248
severe,60,20,0.975285361468872,1.0029612247178457
severe,60,21,0.9781734005882067,1.001768053483618
severe,60,22,0.9799028634766991,1.0018100043878895
severe,60,23,0.9816764919592974,1.0034828036569439
severe,60,24,0.9850954784354291,1.0016096147655327
severe,60,25,0.9866811026629783,1.0015437849347884
severe,60,26,0.9882043260847098,1.001373698948592
severe,60,27,0.9895618213284464,1.0013119227539882
severe,60,28,0.9908600499983251,1.0010401497815686
severe,60,29,0.991890692862896,1.0017055144968732
severe,60,30,0.9935823768188873,1.000871482032091
severe,60,31,0.9944482660076872,1.0007133757961784
severe,60,32,0.9951576813312086,1.0012145748987855
severe,60,33,0.9963663748712871,1.0009548218503443
severe,60,34,0.9973177272569625,1.0010471204188482
severe,60,35,0.9983620390132526,1.0016406483046634
severe,60,36,1.0,
all,36,0,0.5086719813854218,1.3501988430947216
all,36,1,0.6868083207812963,1.0978847566358263
all,36,2,0.754036386116434,1.052138402413221
all,36,3,0.7933506386499835,1.0348550861905663
all,36,4,0.8210029435394695,1.0256838888314435
all,36,5,0.8420894918716251,1.0217322514296048
all,36,6,0.8603899924352073,1.0167096694925666
all,36,7,0.8747668248435114,1.0139841980219901
all,36,8,0.8869997373451907,1.0111678751922655
all,36,9,0.896905639707434,1.0093621331939089
all,36,10,0.905302589768743,1.008320652173913
all,36,11,0.9128352977303513,1.0169255309303327
all,36,12,0.9282855197963858,1.008030867972314
all,36,13,0.9357404582464816,1.0065940149138708
all,36,14,0.9419107447836711,1.0049442280212766
all,36,15,0.946567766281572,1.0044501022761891
all,36,16,0.9507800896528689,1.0043720190779015
all,36,17,0.9549369183437201,1.0038629981921388
all,36,18,0.9586258379328885,1.0033355090661682
all,36,19,0.9618233431063767,1.0029571326929918
all,36,20,0.9646675823591593,1.0026106881348147
all,36,21,0.9671860285704648,1.002353073632065
all,36,22,0.9694618885115955,1.0022077936819642
all,36,23,0.9716022603439566,1.0077117587157747
all,36,24,0.9790950225434305,1.0025992208075372
all,36,25,0.9816399066985815,1.0022168468816932
all,36,26,0.9838160520646918,1.0018353191834277
all,36,27,0.9856216685380103,1.001817578077212
all,36,28,0.9874131128751701,1.0016140634046211
all,36,29,0.9890068602459049,1.0015578630620598
all,36,30,0.9905475975016058,1.001311717813724
all,36,31,0.9918469164305903,1.001159108561869
all,36,32,0.9929965746834883,1.001168973641143
all,36,33,0.9941573615050388,1.0011721990454092
all,36,34,0.9953227118151815,1.001037225542282
all,36,35,0.9963550859546895,1.003658248044991
all,36,36,1.0,
Y0,36,0,0.5090721717355445,1.3459704772368988
Y0,36,1,0.6851961139389153,1.0976768441656783
Y0,36,2,0.7521239079830552,1.0521197773955806
Y0,36,3,0.7913244386410262,1.0350320269515738
Y0,36,4,0.8190461377029377,1.0258690478364345
Y0,36,5,0.8402340814194219,1.0219394077257844
Y0,36,6,0.8586683195167826,1.016780825969171
Y0,36,7,0.8730774831518343,1.014158008050173
Y0,36,8,0.8854385211867228,1.0113109672767029
Y0,36,9,0.8954536873253981,1.0094374974777611
Y0,36,10,0.9039045292409834,1.0084438666927422
Y0,36,11,0.9115369785888602,1.0173519665754214
Y0,36,12,0.9273539377735946,1.0080885385637688
Y0,36,13,0.9348548758615393,1.0066765877005992
Y0,36,14,0.9410965164275616,1.00505326649362
Y0,36,15,0.9458521279212876,1.004502660663119
Y0,36,16,0.9501109790908062,1.0044456504794952
Y0,36,17,0.9543348404205749,1.003942748492307
Y0,36,18,0.9580975426737991,1.0033718689788054
Y0,36,19,0.9613281220566106,1.0029830997064157
Y0,36,20,0.9641958596952869,1.0025671264860745
Y0,36,21,0.966671072424474,1.0023778150455198
Y0,36,22,0.9689696374445537,1.0022237261916271
Y0,36,23,0.9711243606062305,1.0079135243228083
Y0,36,24,0.9788093768543596,1.0026318044385687
Y0,36,25,0.9813854117168777,1.0022489494633329
Y0,36,26,0.9835924979118811,1.0018480061311776
Y0,36,27,0.9854101828786026,1.0018545024581493
Y0,36,28,0.9872376284850364,1.0016689273235282
Y0,36,29,0.9888852563380303,1.0015462904871448
Y0,36,30,0.9904143602027835,1.0013464103169487
Y0,36,31,0.9917478643154147,1.001176884454252
Y0,36,32,0.992915036959465,1.00114918176974
Y0,36,33,0.9940560768188396,1.0011589649155566
Y0,36,34,0.9952081529359684,1.0010337987581492
Y0,36,35,0.9962369978885737,1.0037772157823908
Y0,36,36,1.0,
Y1,36,0,0.5083565632719349,1.4152542372881356
Y1,36,1,0.7194537802238401,1.1003710212849054
Y1,36,2,0.7916660909121928,1.051208594449418
Y1,36,3,0.8322061987010714,1.0314443676572218
Y1,36,4,0.8583743963796469,1.0228802153432033
Y1,36,5,0.8780141874139054,1.0171895861148197
Y1,36,6,0.8931068878984901,1.017227099552758
Y1,36,7,0.9084925291675713,1.0103737856084307
Y1,36,8,0.9179170358920167,1.0078727242906347
Y1,36,9,0.9251435436372711,1.0088235294117647
Y1,36,10,0.9333065749046588,1.0050728195058092
Y1,36,11,0.9380410707027351,1.0093457943925233
Y1,36,12,0.9468078096812652,1.0081685999019767
Y1,36,13,0.9545419038626184,1.004885993485342
Y1,36,14,0.9592057893863771,1.0028999516674721
Y1,36,15,0.9619874398147571,1.0027182603133995
Y1,36,16,0.9646023720943944,1.003012525765023
Y1,36,17,0.9675082615933311,1.0022179974651457
Y1,36,18,0.9696541924650527,1.003159058600537
Y1,36,19,0.9727173868813062,1.002360346184107
Y1,36,20,0.9750133366536461,1.0028386689796562
Y1,36,21,0.9777810767671559,1.0018835347669126
Y1,36,22,0.9796227614196761,1.0017246785826277
Y1,36,23,0.9813122958153512,1.0039142007202129
Y1,36,24,0.9851533491103853,1.001861330851559
Y1,36,25,0.9869870454326011,1.0012416576129133
Y1,36,26,0.9882125454114092,1.0010893246187365
Y1,36,27,0.9892890296656701,1.001548706829797
Y1,36,28,0.9908211483425566,1.0009239297813366
Y1,36,29,0.9917365975094884,1.00153586238673
Y1,36,30,0.9932597684471469,1.000770060064685
Y1,36,31,0.9940246381286862,1.0006167129201358
Y1,36,32,0.9946376659659535,1.0013833384568092
Y1,36,33,0.9960135864998751,1.0013816395455941
Y1,36,34,0.9973897182589324,1.0003076449776958
Y1,36,35,0.9976965601965602,1.0023087578882561
Y1,36,36,1.0,
Y2,36,0,0.4972695550113269,1.4356392294220666
Y2,36,1,0.7138996807715153,1.1006172839506172
Y2,36,2,0.7857303276639579,1.0539700480361684
Y2,36,3,0.8281362311914561,1.0307566684812193
Y2,36,4,0.8536069427114981,1.0212314225053079
Y2,36,5,0.87173023236567,1.0197607904316173
Y2,36,6,0.8889563108003531,1.0121352956364575
Y2,36,7,0.89974405843981,1.0117948717948717
Y2,36,8,0.9103564242573051,1.0102748522989982
Y2,36,9,0.9197102020559931,1.006593963986812
Y2,36,10,0.9257747380066539,1.0071047957371226
Y2,36,11,0.9323521784187794,1.0098335854765508
Y2,36,12,0.9415205432595087,1.0050025012506254
Y2,36,13,0.9462305009546539,1.005281690140845
Y2,36,14,0.951228197262513,1.0030082727500627
Y2,36,15,0.954089751127429,1.0044988752811796
Y2,36,16,0.958382081924803,1.0032138442521632
Y2,36,17,0.9614621726701732,1.0026816187225744
Y2,36,18,0.9640404476334526,1.0017056530214425
Y2,36,19,0.9656847661357515,1.0028943560057888
Y2,36,20,0.9684798016383153,1.0038582107547624
Y2,36,21,0.9722164008247665,1.001908396946565
Y2,36,22,0.9740717756355008,1.0023786869647955
Y2,36,23,0.9763887874709802,1.0056324806383479
Y2,36,24,0.9818882784119105,1.0025457070122656
Y2,36,25,0.9843878782875252,1.0023009664058904
Y2,36,26,0.9866529217258305,1.002289901534234
Y2,36,27,0.9889122597650469,1.0009140767824498
Y2,36,28,0.9898162015015781,1.0006839945280437
Y2,36,29,0.9904932303671742,1.0018281535648994
Y2,36,30,0.9923040040972787,1.0009134505594885
Y2,36,31,0.9932104247450041,1.0013617793917386
Y2,36,32,0.9945629582330818,1.001588742623695
Y2,36,33,0.9961430627967748,1.001138952164009
Y2,36,34,0.9972776220938098,1.001357773251867
Y2,36,35,0.9986316989737744,1.0013701758392326
Y2,36,36,1.0,
