channel,d,F,n
IVOQ,31,0.990068510753912,817098
IVOQ,32,0.9917194755096695,817098
IVOQ,33,0.9932468320813416,817098
IVOQ,34,0.9947680694359795,817098
IVOQ,35,0.9961962946917016,817098
IVOQ,36,1.0,817098
MAVQ,0,0.5794871794871795,195
MAVQ,1,0.7076923076923077,195
MAVQ,2,0.764102564102564,195
MAVQ,3,0.8102564102564103,195
MAVQ,4,0.8358974358974359,195
MAVQ,5,0.8461538461538461,195
MAVQ,6,0.8512820512820513,195
MAVQ,7,0.8666666666666667,195
MAVQ,8,0.882051282051282,195
MAVQ,9,0.882051282051282,195
MAVQ,10,0.8974358974358975,195
MAVQ,11,0.8974358974358975,195
MAVQ,12,0.9230769230769231,195
MAVQ,13,0.9282051282051282,195
MAVQ,14,0.9333333333333333,195
MAVQ,15,0.9333333333333333,195
MAVQ,16,0.9384615384615385,195
MAVQ,17,0.9487179487179487,195
MAVQ,18,0.9538461538461539,195
MAVQ,19,0.958974358974359,195
MAVQ,20,0.958974358974359,195
MAVQ,21,0.958974358974359,195
MAVQ,22,0.9641025641025641,195
MAVQ,23,0.9743589743589743,195
MAVQ,24,0.9743589743589743,195
MAVQ,25,0.9743589743589743,195
MAVQ,26,0.9794871794871794,195
MAVQ,27,0.9794871794871794,195
MAVQ,28,0.9794871794871794,195
MAVQ,29,0.9794871794871794,195
MAVQ,30,0.9794871794871794,195
MAVQ,31,0.9846153846153847,195
MAVQ,32,0.9897435897435898,195
MAVQ,33,0.9948717948717949,195
MAVQ,34,0.9948717948717949,195
MAVQ,35,0.9948717948717949,195
MAVQ,36,1.0,195
VOQ,0,0.2736721466961745,25304
VOQ,1,0.4478343344925703,25304
VOQ,2,0.5523632627252608,25304
VOQ,3,0.617767941827379,25304
VOQ,4,0.6679181157129308,25304
VOQ,5,0.7055406259879861,25304
VOQ,6,0.7398039835599115,25304
VOQ,7,0.7659263357571925,25304
VOQ,8,0.7926019601644009,25304
VOQ,9,0.8170644957319001,25304
VOQ,10,0.8371798925071136,25304
VOQ,11,0.8567815365159659,25304
VOQ,12,0.8749209611128675,25304
VOQ,13,0.8922304773948783,25304
VOQ,14,0.9065760354094214,25304
VOQ,15,0.9195384128991464,25304
VOQ,16,0.9297344293392349,25304
VOQ,17,0.9378754347138792,25304
VOQ,18,0.9455817262092949,25304
VOQ,19,0.9517467594056276,25304
VOQ,20,0.9589392981346823,25304
VOQ,21,0.9632469174834019,25304
VOQ,22,0.9679102118242175,25304
VOQ,23,0.9718621561808409,25304
VOQ,24,0.9758536199810307,25304
VOQ,25,0.9794894087891243,25304
VOQ,26,0.9829671198229529,25304
VOQ,27,0.985338286436927,25304
VOQ,28,0.9883022447043945,25304
VOQ,29,0.989883022447044,25304
VOQ,30,0.9918985140689219,25304
VOQ,31,0.99359785014227,25304
VOQ,32,0.9951391084413531,25304
VOQ,33,0.9963642111919064,25304
VOQ,34,0.9977869111602908,25304
VOQ,35,0.9990120139108442,25304
VOQ,36,1.0,25304
